"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","398","should render search input","SearchCommander","Mon May 18 09:30:22 UTC 2026","passed","Mon May 18 09:30:22 UTC 2026","","","",""
"","202","should render subscription message delivery tracking (trackingAll)","PropertiesCard","Mon May 18 09:30:09 UTC 2026","passed","Mon May 18 09:30:09 UTC 2026","","","",""
"","996","shouldNotAttachSubscriptionIdentityHeadersWhenItIsDisabled()","","Mon May 18 09:37:24 UTC 2026","passed","Mon May 18 09:37:25 UTC 2026","","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","pl.allegro.tech.hermes.integrationtests.PublishingAndConsumingTest","shouldNotAttachSubscriptionIdentityHeadersWhenItIsDisabled"
"","1105","shouldListSubscriptionAfterOwnerIsChanged()","","Mon May 18 09:39:15 UTC 2026","passed","Mon May 18 09:39:16 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.ListSubscriptionForOwnerTest","pl.allegro.tech.hermes.integrationtests.management.ListSubscriptionForOwnerTest","shouldListSubscriptionAfterOwnerIsChanged"
"","100","renders properly with admin tools","HomeView","Mon May 18 09:31:25 UTC 2026","passed","Mon May 18 09:31:25 UTC 2026","","","",""
"","28","topic changing content type from json to avro when avro schema is available should be valid","","Mon May 18 09:36:23 UTC 2026","passed","Mon May 18 09:36:23 UTC 2026","","TopicValidatorTest","pl.allegro.tech.hermes.management.domain.topic.validator.TopicValidatorTest","topic changing content type from json to avro when avro schema is available should be valid"
"","162","should not render batch-specific data for SERIAL delivery type","PropertiesCard","Mon May 18 09:30:07 UTC 2026","passed","Mon May 18 09:30:07 UTC 2026","","","",""
"","255","should show loading spinner when fetching consumerGroups data","ConsumerGroupsView","Mon May 18 09:30:59 UTC 2026","passed","Mon May 18 09:31:00 UTC 2026","","","",""
"","4","basic paths [path: .batter.id, matcher: 1003, result: true, #6]","","Mon May 18 09:33:23 UTC 2026","passed","Mon May 18 09:33:23 UTC 2026","","AvroPathMessageFilterSpec","pl.allegro.tech.hermes.domain.filtering.AvroPathMessageFilterSpec","basic paths [path: .batter.id, matcher: 1003, result: true, #6]"
"","58","should set error to true on /groups endpoint failure","useGroups","Mon May 18 09:30:38 UTC 2026","passed","Mon May 18 09:30:38 UTC 2026","","","",""
"","493","shouldThrowAccessDeniedWhenTryingToCreateTopicRetransmissionTaskWithoutPermissionsToSourceAndTargetTopics()","","Mon May 18 09:39:46 UTC 2026","passed","Mon May 18 09:39:46 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","shouldThrowAccessDeniedWhenTryingToCreateTopicRetransmissionTaskWithoutPermissionsToSourceAndTargetTopics"
"","1750","shouldNotFindSubscriptionAfterItWasDeleted()","","Mon May 18 09:40:53 UTC 2026","passed","Mon May 18 09:40:55 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.SearchEndpointTest","pl.allegro.tech.hermes.integrationtests.management.SearchEndpointTest","shouldNotFindSubscriptionAfterItWasDeleted"
"","8","updating topic with modifying retention time already exceeding maximum should be invalid for regular user","","Mon May 18 09:36:24 UTC 2026","passed","Mon May 18 09:36:24 UTC 2026","","TopicValidatorWithRealApiPreconditionsTest","pl.allegro.tech.hermes.management.domain.topic.validator.TopicValidatorWithRealApiPreconditionsTest","updating topic with modifying retention time already exceeding maximum should be invalid for regular user"
